epoch,train_loss,eer,eer_threshold,accuracy,f1,precision,recall,roc_auc,n_clips
1,0.2941250209821099,0.19666666666666666,0.905308723449707,0.8906666666666667,0.934136546184739,0.9015503875968992,0.9691666666666666,0.8995055555555556,1500
2,0.21140579696007591,0.17333333333333334,0.725725531578064,0.8893333333333333,0.9307756463719766,0.9315525876460768,0.93,0.9191638888888889,1500
3,0.1807508994551266,0.14375,0.8149626851081848,0.898,0.9370629370629371,0.925264012997563,0.9491666666666667,0.9284055555555556,1500
4,0.1793291379104961,0.14250000000000002,0.6297786831855774,0.8853333333333333,0.9263067694944301,0.95326278659612,0.9008333333333334,0.934825,1500
5,0.1654262102662242,0.14250000000000002,0.6432433128356934,0.888,0.9285106382978724,0.948695652173913,0.9091666666666667,0.9360499999999999,1500
6,0.15772508881627556,0.15291666666666665,0.855869472026825,0.906,0.9421419778416086,0.9280517380759903,0.9566666666666667,0.936813888888889,1500
7,0.15286881586208062,0.19958333333333333,0.932520866394043,0.8686666666666667,0.9217322208978943,0.8807896735003796,0.9666666666666667,0.9012500000000001,1500
8,0.1460401056941977,0.15916666666666668,0.7838920950889587,0.9033333333333333,0.9400578751550227,0.9327317473338802,0.9475,0.9363722222222222,1500
9,0.14126804917253913,0.1504166666666667,0.844165027141571,0.904,0.9408866995073891,0.9271844660194175,0.955,0.93325,1500
10,0.12492643127387221,0.15291666666666665,0.8908622860908508,0.9153333333333333,0.9478867459991793,0.9337105901374293,0.9625,0.9389027777777778,1500
11,0.12641253285508425,0.13874999999999998,0.9561719298362732,0.9046666666666666,0.9425933360096347,0.9093725793958172,0.9783333333333334,0.9415749999999999,1500
12,0.12623969417682943,0.1370833333333333,0.8831775188446045,0.9133333333333333,0.946852003270646,0.9293739967897271,0.965,0.9445277777777777,1500
13,0.11087798068230165,0.1325,0.9065040349960327,0.9146666666666666,0.9481781376518219,0.9220472440944882,0.9758333333333333,0.9437055555555556,1500
14,0.11240205974542203,0.13291666666666663,0.80598384141922,0.9113333333333333,0.944560233430596,0.944954128440367,0.9441666666666667,0.945738888888889,1500
15,0.11193583570520349,0.14958333333333335,0.8216490745544434,0.8926666666666667,0.9324381032312211,0.9391377852916315,0.9258333333333333,0.9375638888888889,1500
