epoch,train_loss,val_loss,val_eer,val_auc,seconds
1,0.24319774015744527,0.17834533723195395,0.19333333333333336,0.899775,13.468180894851685
2,0.15618934375047683,0.09334251073996226,0.08250000000000002,0.9689111111111111,13.672231197357178
3,0.09678263745705287,0.06838854691386223,0.06166666666666665,0.9877083333333334,14.234891891479492
4,0.0803647298614184,0.046716952813168365,0.04666666666666666,0.9932777777777777,13.702278852462769
5,0.06384422538181146,0.03967533276726802,0.029166666666666674,0.9957416666666666,14.817162990570068
6,0.05446861064682404,0.03592744253327449,0.04000000000000001,0.9961333333333333,12.83887004852295
7,0.047886803155144056,0.02558316182345152,0.016666666666666663,0.999075,11.966948747634888
8,0.046258342415094376,0.021742397097249826,0.013333333333333336,0.9990416666666666,12.218109846115112
9,0.03839068906878432,0.020162801768630743,0.011666666666666714,0.9988722222222222,11.434211730957031
10,0.034686630321045714,0.023747539108619094,0.020000000000000018,0.9983361111111111,11.310932874679565
11,0.032493340261280534,0.018866096006085475,0.013333333333333334,0.9991277777777777,11.309830904006958
12,0.027814296095321576,0.017089228407169383,0.011666666666666714,0.999375,11.343930959701538
13,0.027490449879318476,0.019469983238649242,0.016666666666666663,0.9993194444444444,11.464637756347656
14,0.021707300189261636,0.01128461837147673,0.009166666666666656,0.9997555555555556,11.5868239402771
15,0.024927564799785615,0.01499076739574472,0.007499999999999951,0.9996555555555555,11.332242965698242
16,0.028422901762028534,0.01586330011145522,0.015833333333333366,0.9991916666666667,11.46768832206726
17,0.01850900059317549,0.010922217623796315,0.010000000000000002,0.9997388888888888,11.458229064941406
18,0.019265894106278818,0.012790622384675468,0.007499999999999951,0.9997833333333332,11.89520001411438
19,0.02050604851419727,0.01166609447915107,0.010000000000000009,0.9995416666666667,11.528816938400269
20,0.02073973650112748,0.011954905783136686,0.012499999999999956,0.9995722222222222,13.306084871292114
21,0.01808755563509961,0.026801652047783137,0.010000000000000009,0.9995444444444445,14.133929014205933
22,0.012604970777717729,0.007481961426635583,0.00666666666666671,0.9998666666666667,16.201778888702393
23,0.011145945296622812,0.005648070903029293,0.003333333333333334,0.999925,15.542019128799438
24,0.010646304334979505,0.006532659867079928,0.003333333333333334,0.9998777777777778,14.415373086929321
25,0.009797844354218493,0.00617801856113753,0.005833333333333357,0.9999138888888889,12.600725889205933
26,0.009242563714273275,0.007807012435204039,0.010000000000000002,0.9998055555555555,13.790406942367554
27,0.00987755810143426,0.00864088037237525,0.010000000000000002,0.9997777777777777,14.471041917800903
28,0.009537314853902596,0.005389332689461298,0.005833333333333357,0.9999333333333333,17.20467209815979
29,0.006577596744600063,0.004929499328233457,0.0050000000000000044,0.9999388888888889,16.26276206970215
30,0.00686542711701865,0.005794144230739524,0.006666666666666668,0.9999416666666667,15.404158115386963
31,0.007006255250656977,0.0064561928612723325,0.00666666666666671,0.9998944444444444,13.506049633026123
