epoch,train_loss,eer,eer_threshold,accuracy,f1,precision,recall,roc_auc,n_clips
1,0.4537491216697795,0.2708333333333333,0.8079732060432434,0.8273333333333334,0.9005758157389635,0.8348754448398576,0.9775,0.7935555555555556,1500
2,0.3610439024028931,0.22625,0.8266282081604004,0.8553333333333333,0.9143308330043427,0.8687171792948237,0.965,0.8494444444444444,1500
3,0.31432424286470056,0.22625,0.7992021441459656,0.8613333333333333,0.9161290322580645,0.8875,0.9466666666666667,0.8594111111111111,1500
4,0.29035780933451527,0.23625000000000002,0.7465106844902039,0.844,0.9027431421446384,0.900497512437811,0.905,0.8532222222222221,1500
5,0.2825271741830729,0.2129166666666667,0.8114349246025085,0.8673333333333333,0.9198550140958518,0.8901013250194856,0.9516666666666667,0.8683194444444444,1500
6,0.26616546764651083,0.21083333333333332,0.682782769203186,0.8593333333333333,0.9110830172777076,0.9215686274509803,0.9008333333333334,0.8871388888888889,1500
7,0.25236880181626203,0.22458333333333333,0.8460649847984314,0.8746666666666667,0.9253375694996029,0.8839150227617603,0.9708333333333333,0.8756638888888888,1500
8,0.23493313367035298,0.19666666666666666,0.8211368322372437,0.8746666666666667,0.923202614379085,0.905448717948718,0.9416666666666667,0.9019916666666667,1500
9,0.2247449531553582,0.19999999999999998,0.8530107736587524,0.878,0.9269461077844311,0.8896551724137931,0.9675,0.8906875,1500
10,0.21053228766363571,0.21708333333333335,0.8880974650382996,0.866,0.9213922565506453,0.8680913780397936,0.9816666666666667,0.8740847222222222,1500
11,0.20623421657053545,0.16666666666666663,0.7917117476463318,0.896,0.9356435643564357,0.9264705882352942,0.945,0.9179277777777777,1500
12,0.19296850289970158,0.17291666666666666,0.7014397978782654,0.8766666666666667,0.9217096910706729,0.9363714531384351,0.9075,0.9148083333333333,1500
13,0.18172372473194637,0.20333333333333337,0.9393365383148193,0.8606666666666667,0.9183274716686206,0.8646063281824872,0.9791666666666666,0.8826277777777779,1500
14,0.16835113986330555,0.19041666666666665,0.8703705668449402,0.8813333333333333,0.9285140562248996,0.896124031007752,0.9633333333333334,0.9005027777777777,1500
15,0.15968903612325536,0.17083333333333334,0.8907630443572998,0.9013333333333333,0.940080971659919,0.9141732283464566,0.9675,0.918175,1500
