model,level,input,normalized,params,val_eer,seen_eer,unseen_eer,gap,test_auc,checkpoint,eer_G01,eer_G02,eer_G03,eer_G04,eer_G05,eer_G06,eer_G07
cnn,1,waveform,False,19073,0.14416666666666667,0.21333333333333337,0.27,0.05666666666666664,0.7774444444444444,results/models/cnn_best.pt,0.17666666666666664,0.19,0.18,0.29333333333333333,0.1333333333333333,0.16333333333333333,0.51
logmel_cnn,1 (baseline),logmel,True,240737,0.003333333333333334,0.02416666666666667,0.08333333333333331,0.059166666666666645,0.9729333333333333,results/models/logmel_cnn_best.pt,0.010000000000000009,0.013333333333333308,0.03666666666666667,0.03,0.09666666666666668,0.06666666666666665,0.08333333333333337
fusion,proposed,waveform,False,324227,0.1325,0.20333333333333337,0.29666666666666675,0.09333333333333338,0.7595555555555555,results/models/fusion_best.pt,0.17666666666666664,0.22333333333333338,0.20999999999999996,0.19333333333333336,0.17666666666666667,0.20333333333333337,0.5133333333333334
beats_aasist,3,waveform,False,263937,0.16666666666666663,0.24,0.34333333333333327,0.10333333333333328,0.6990592592592592,results/models/beats_aasist_best.pt,0.21999999999999997,0.2766666666666666,0.2466666666666667,0.22666666666666668,0.30999999999999994,0.27,0.51
aasist,2,waveform,False,269427,0.08916666666666669,0.11333333333333334,0.23333333333333334,0.12,0.849837037037037,results/models/aasist_best.pt,0.1,0.10333333333333333,0.17333333333333334,0.10333333333333339,0.2866666666666666,0.2366666666666667,0.11333333333333334
