generator,name,group,n,dist_to_real_centroid,dist_std,mean_logit
REAL,Real recording,real,300,2.0252201557159424,1.0870072841644287,-6.469851970672607
G01,AudioLDM (TTA),seen,300,7.654574394226074,1.278039813041687,9.96790885925293
G02,AudioLDM 2 (TTA),seen,300,6.921503067016602,1.3214117288589478,8.41585636138916
G03,AudioGen (TTA),seen,300,6.353309154510498,0.9415503144264221,7.214938163757324
G04,AudioLDM (ATA),seen,300,6.661913871765137,1.089449167251587,8.088833808898926
G05,AudioLCM (TTA),unseen,300,5.039947986602783,1.2445757389068604,3.6889123916625977
G06,TangoFlux (TTA),unseen,300,5.153149604797363,1.0803897380828857,3.6853954792022705
G07,AudioLDM 2 (ATA),unseen,300,4.644738674163818,1.2833479642868042,2.9268319606781006
