epoch,train_loss,eer,eer_threshold,accuracy,f1,precision,recall,roc_auc,n_clips
1,0.42136370059959394,0.2095833333333333,0.534989058971405,0.8033333333333333,0.8685968819599109,0.9330143540669856,0.8125,0.8815000000000001,1500
2,0.32657042759306293,0.16166666666666668,0.7874130606651306,0.8713333333333333,0.9227691076430572,0.8876058506543495,0.9608333333333333,0.9181666666666667,1500
3,0.30037875083041066,0.16375,0.7918246984481812,0.896,0.9365853658536586,0.9142857142857143,0.96,0.9255388888888889,1500
4,0.2767799746065854,0.22791666666666666,0.6733195781707764,0.8233333333333334,0.8861194671250537,0.9148181011535049,0.8591666666666666,0.8838250000000001,1500
5,0.2658459122646301,0.15625000000000003,0.8511815667152405,0.9053333333333333,0.9422764227642276,0.9198412698412698,0.9658333333333333,0.9294138888888888,1500
6,0.2540507393087295,0.15000000000000002,0.8203017711639404,0.9066666666666666,0.9429502852485737,0.9226475279106858,0.9641666666666666,0.9363888888888889,1500
7,0.2344093603644779,0.32166666666666666,0.7537964582443237,0.712,0.8029197080291971,0.8870967741935484,0.7333333333333333,0.7792749999999999,1500
8,0.21342602336311087,0.11666666666666668,0.7622276544570923,0.9153333333333333,0.9471493965875988,0.9459684123025769,0.9483333333333334,0.9562916666666667,1500
9,0.20949381691488353,0.16375,0.887927234172821,0.888,0.9314285714285714,0.9128,0.9508333333333333,0.927025,1500
10,0.19524509258528444,0.27499999999999997,0.960246205329895,0.7766666666666666,0.859538784067086,0.8649789029535865,0.8541666666666666,0.8095486111111112,1500
11,0.19559921997594323,0.1266666666666667,0.8854666352272034,0.934,0.9592760180995475,0.9471974004874086,0.9716666666666667,0.9558083333333334,1500
12,0.17727461346689075,0.1825,0.8347334861755371,0.876,0.9222408026755853,0.9253355704697986,0.9191666666666667,0.896886111111111,1500
13,0.16678835818155563,0.13874999999999998,0.8530645966529846,0.9146666666666666,0.9470636889991728,0.9400656814449918,0.9541666666666667,0.9437444444444445,1500
14,0.15869824452833695,0.16999999999999998,0.5600444674491882,0.8413333333333334,0.8954305799648506,0.9470260223048327,0.8491666666666666,0.908325,1500
15,0.15640853368303673,0.10958333333333331,0.8377341032028198,0.9246666666666666,0.9526205450733752,0.9586497890295359,0.9466666666666667,0.9646916666666666,1500
16,0.15119636069764109,0.1366666666666667,0.7637935876846313,0.8966666666666666,0.9343498517577298,0.9500430663221361,0.9191666666666667,0.9347875,1500
17,0.15069993476776836,0.10541666666666666,0.9549483060836792,0.9246666666666666,0.954600241060667,0.921644685802948,0.99,0.9663472222222222,1500
18,0.14505014270743266,0.16000000000000003,0.3940266966819763,0.8173333333333334,0.8761301989150091,0.9575098814229249,0.8075,0.9244861111111111,1500
19,0.14853262795723057,0.09791666666666665,0.9017249941825867,0.9313333333333333,0.957560774618871,0.9470252648736757,0.9683333333333334,0.9663527777777778,1500
20,0.13636426801947668,0.20083333333333334,0.9175055027008057,0.8353333333333334,0.8952946163628657,0.911130284728214,0.88,0.8907152777777778,1500
21,0.13210770638191446,0.18708333333333332,0.7419444918632507,0.852,0.9034782608695652,0.9445454545454546,0.8658333333333333,0.9116916666666667,1500
22,0.12663096781162655,0.09291666666666668,0.7910913825035095,0.9186666666666666,0.9491666666666667,0.9491666666666667,0.9491666666666667,0.9680055555555555,1500
23,0.11967439944034114,0.10625000000000001,0.7494841814041138,0.9086666666666666,0.9418752651675859,0.9593777009507347,0.925,0.9616388888888889,1500
24,0.11363591085422166,0.1741666666666667,0.9806933999061584,0.852,0.9110576923076923,0.8773148148148148,0.9475,0.8949624999999999,1500
25,0.1149673451056933,0.14250000000000002,0.9731624722480774,0.9233333333333333,0.9534977759805904,0.9261586802827966,0.9825,0.9442430555555554,1500
26,0.10508775998922912,0.15166666666666667,0.9849807024002075,0.9173333333333333,0.9503205128205128,0.9151234567901234,0.9883333333333333,0.9360597222222222,1500
27,0.11304372192465048,0.10708333333333336,0.6200142502784729,0.908,0.9408740359897172,0.9682539682539683,0.915,0.9656222222222222,1500
28,0.10617016983482448,0.09666666666666668,0.7999894618988037,0.9266666666666666,0.9538203190596137,0.961082910321489,0.9466666666666667,0.9717916666666666,1500
29,0.10524218224666336,0.08916666666666669,0.9192720055580139,0.9266666666666666,0.9548069022185702,0.9416531604538088,0.9683333333333334,0.969061111111111,1500
30,0.10085676084546481,0.13124999999999998,0.6581546068191528,0.886,0.926133909287257,0.9614349775784753,0.8933333333333333,0.9472722222222222,1500
