epoch,train_loss,val_loss,val_eer,val_auc,val_f1,lr,seconds
1,0.2505357310374578,0.216870045542717,0.22666666666666668,0.8489944444444446,0.8451730418943534,0.001,25.7310049533844
2,0.197344717224439,0.15106453442573547,0.13916666666666666,0.9178916666666667,0.9085312225153914,0.001,11.832243919372559
3,0.1627381996313731,0.13020964082082112,0.10333333333333339,0.9517666666666666,0.9328131772865192,0.001,11.698235988616943
4,0.13883509278297423,0.0982003957827886,0.09333333333333338,0.9640361111111111,0.9399568034557235,0.001,11.860045194625854
5,0.129739938557148,0.1201453515291214,0.09333333333333332,0.9589222222222222,0.9386343993085566,0.001,12.128211975097656
6,0.11660759846369426,0.07926036788026491,0.07583333333333331,0.9780472222222223,0.9515229515229515,0.001,11.312045812606812
7,0.10601688768466314,0.07936552226543427,0.08333333333333331,0.9762388888888889,0.9466895958727429,0.001,13.064745903015137
8,0.0992908373226722,0.0747835531483094,0.06833333333333336,0.9779555555555556,0.9563729683490163,0.001,19.5398211479187
9,0.09350886249045531,0.06513414127628009,0.06333333333333335,0.9840166666666667,0.9594536918480581,0.001,13.771807670593262
10,0.09295084268848101,0.0783730973203977,0.07333333333333333,0.9795722222222222,0.9524217745392198,0.001,11.806238174438477
11,0.08822928970058759,0.048990801920493446,0.04583333333333328,0.9923500000000001,0.9711620016963528,0.001,11.272490978240967
12,0.07905972577134768,0.05645358950644731,0.04166666666666663,0.9917611111111111,0.9737510584250635,0.001,12.51841926574707
13,0.08140666118264198,0.05575800806283951,0.05666666666666667,0.9894222222222222,0.9638143891017454,0.001,14.386931896209717
14,0.06759861184159914,0.06047890676061313,0.05583333333333329,0.9861000000000001,0.9646658152405279,0.001,16.17937707901001
15,0.07279666738460461,0.04561589652796586,0.046666666666666634,0.9931972222222223,0.9703138252756573,0.001,15.27992296218872
16,0.0743759746948878,0.05160968282322089,0.05249999999999999,0.9906944444444444,0.9668367346938775,0.001,12.996490001678467
17,0.064469506457448,0.05032596854493022,0.050000000000000044,0.9917305555555556,0.9685641461342396,0.001,15.021597146987915
18,0.06749117658038935,0.039782486552993455,0.03666666666666667,0.9948361111111113,0.9767638360794254,0.001,16.403192043304443
19,0.06359577259918053,0.037574704776207606,0.03166666666666662,0.9953777777777777,0.9801771404470687,0.001,12.564094066619873
20,0.0588973941753308,0.03554491423070431,0.033333333333333326,0.9951805555555555,0.9784719290840017,0.001,15.798360824584961
21,0.05981453197946151,0.0630050937247773,0.05666666666666667,0.9882861111111112,0.9638143891017454,0.001,15.571319103240967
22,0.057719497481981914,0.04083917831381162,0.03666666666666667,0.9932472222222223,0.9763313609467456,0.001,15.05315899848938
23,0.05789426363507907,0.041075791562596956,0.02333333333333333,0.9972472222222222,0.984006734006734,0.001,15.507654905319214
24,0.055056730528672534,0.04244155445260306,0.043333333333333335,0.9932527777777778,0.9724692926725964,0.0005,15.231891870498657
25,0.04659618210047484,0.03726015572063625,0.035833333333333384,0.9960638888888889,0.977608787494719,0.0005,13.260548830032349
26,0.04214633579552174,0.028696757869174083,0.026666666666666672,0.9980388888888889,0.9827368421052631,0.0005,11.911618947982788
27,0.04385945244878531,0.025680251692111293,0.022499999999999964,0.9982055555555556,0.9853002939941201,0.0005,11.619769096374512
28,0.04015681762248278,0.028704167096565168,0.03083333333333338,0.9972805555555555,0.9806070826306914,0.0005,11.280466079711914
29,0.03910573765138785,0.026285634163146217,0.026666666666666616,0.9976444444444443,0.9831649831649831,0.0005,11.379892110824585
30,0.03714032406111558,0.02514960490912199,0.025833333333333375,0.9979583333333333,0.984006734006734,0.0005,11.464349031448364
31,0.03846383854995171,0.02496674686546127,0.021666666666666612,0.9980944444444444,0.9865546218487395,0.0005,12.06398892402649
32,0.03879252973943949,0.028073831823964914,0.02416666666666667,0.997163888888889,0.9848612279226241,0.0005,10.891301155090332
33,0.037465369068086146,0.026981432547792793,0.026666666666666616,0.9980027777777778,0.9831649831649831,0.0005,11.53518295288086
34,0.036030192606151104,0.03207301378591607,0.02749999999999997,0.997125,0.9827368421052631,0.0005,12.35383415222168
35,0.03757613961522778,0.021516112030794222,0.015833333333333366,0.9989333333333333,0.9899413243922883,0.0005,14.032660007476807
36,0.03390120252966881,0.022738816648721696,0.019166666666666665,0.9981277777777778,0.9882451721242653,0.0005,13.630043029785156
37,0.03297011041641235,0.03320225906309982,0.026666666666666672,0.997525,0.9827368421052631,0.0005,11.494012832641602
38,0.03890083663413922,0.03505144997686148,0.03166666666666662,0.9968944444444445,0.9801771404470687,0.0005,11.327905178070068
39,0.036274257652461527,0.02574540306814015,0.02333333333333333,0.998375,0.9852879361076082,0.00025,11.72583818435669
40,0.03197809055695931,0.02601756621959309,0.02333333333333333,0.9976722222222223,0.9857142857142858,0.00025,12.343000888824463
