epoch,train_loss,val_loss,val_eer,val_auc,val_f1,lr,seconds
1,0.22763319394985834,0.17745205255349478,0.19,0.8838944444444444,0.8711270767849124,0.001,25.088968992233276
2,0.1385985710422198,0.09387788157661756,0.08583333333333332,0.9696416666666667,0.9452822059457131,0.001,10.490365028381348
3,0.09893372404575348,0.0789943032960097,0.06666666666666665,0.9794694444444444,0.9563729683490163,0.001,10.486042976379395
4,0.0771673883597056,0.0479822961439689,0.04416666666666669,0.9928777777777777,0.9720338983050848,0.001,9.828099012374878
5,0.06347309516867002,0.042008547086268666,0.03166666666666662,0.995263888888889,0.9801771404470687,0.001,10.703698873519897
6,0.055309646566708885,0.040815667763352395,0.03,0.9960027777777778,0.9810366624525917,0.001,9.868503093719482
7,0.04666765646636486,0.02882202964524428,0.02416666666666667,0.9978583333333333,0.9848612279226241,0.001,10.922468185424805
8,0.04220120241989692,0.03521636020640532,0.033333333333333326,0.9961916666666667,0.9784719290840017,0.001,11.585059881210327
9,0.032244471855461594,0.020301576996222138,0.01416666666666666,0.9994972222222223,0.9912023460410557,0.001,11.01844573020935
10,0.03176382658878962,0.017081736946478486,0.01416666666666666,0.9991805555555556,0.9912023460410557,0.001,11.579030990600586
11,0.032868953947598735,0.022549939118325712,0.013333333333333308,0.9993277777777778,0.9916247906197655,0.001,12.792046070098877
12,0.029067016853019594,0.028602581094019114,0.015833333333333366,0.9990277777777777,0.990356394129979,0.001,12.614366292953491
13,0.028691885999093454,0.02327309407045444,0.013333333333333308,0.9993694444444444,0.9916247906197655,0.001,10.690064907073975
14,0.0248593246464928,0.011248191552236676,0.006666666666666668,0.9997277777777778,0.9958228905597326,0.001,11.265578031539917
15,0.02705488854025801,0.016612825941915314,0.01416666666666666,0.9991444444444444,0.9912023460410557,0.001,12.311461925506592
16,0.02203594216083487,0.01422681280830875,0.010000000000000002,0.9993916666666667,0.9937264742785445,0.001,12.81935715675354
17,0.02116961877172192,0.014085190520000955,0.011666666666666714,0.9994555555555555,0.9928840519045625,0.001,10.8335280418396
18,0.01746851430926472,0.03266818394760291,0.02416666666666667,0.99735,0.9848612279226241,0.0005,10.478087902069092
19,0.01836957739231487,0.009499106851095954,0.00666666666666671,0.999788888888889,0.9958228905597326,0.0005,10.892344951629639
20,0.01010626525680224,0.0124341827412912,0.010833333333333361,0.999625,0.9933054393305439,0.0005,10.56592583656311
21,0.011411466217289369,0.01013673895302539,0.007499999999999951,0.9996777777777778,0.9954032595068951,0.0005,11.279900789260864
22,0.011347809641622008,0.012441822908741112,0.010000000000000009,0.9993555555555556,0.9937264742785445,0.0005,11.518977880477905
