epoch,train_loss,eer,eer_threshold,accuracy,f1,precision,recall,roc_auc,n_clips
1,0.5865180020663827,0.28375,0.6923699378967285,0.8,0.8888888888888888,0.8,1.0,0.7369027777777778,1500
2,0.4889130519035666,0.25583333333333336,0.7403544187545776,0.8,0.8888888888888888,0.8,1.0,0.7889777777777778,1500
3,0.4660694788802754,0.24791666666666667,0.7274720668792725,0.8,0.8888888888888888,0.8,1.0,0.8045444444444445,1500
4,0.45271249681233083,0.2333333333333333,0.7221477627754211,0.8006666666666666,0.889218228973694,0.800533689126084,1.0,0.8142083333333334,1500
5,0.4466017830499353,0.22333333333333336,0.754050076007843,0.8,0.8888888888888888,0.8,1.0,0.8250333333333333,1500
6,0.43660257716867373,0.2429166666666667,0.7345444560050964,0.8026666666666666,0.8897989575577067,0.8041722745625841,0.9958333333333333,0.8227333333333333,1500
7,0.4325545176783985,0.21333333333333337,0.7413886785507202,0.7993333333333333,0.8882287411808392,0.8010716677829873,0.9966666666666667,0.8347055555555556,1500
8,0.4237659524946927,0.2129166666666667,0.7518874406814575,0.8026666666666666,0.8897989575577067,0.8041722745625841,0.9958333333333333,0.8367444444444445,1500
9,0.41941804602184396,0.21333333333333337,0.7134606242179871,0.8113333333333334,0.8928436198409694,0.8181818181818182,0.9825,0.8393861111111112,1500
10,0.4176129459697295,0.20333333333333337,0.74107825756073,0.806,0.8912149532710281,0.808135593220339,0.9933333333333333,0.8459194444444444,1500
11,0.4106321690235546,0.19958333333333336,0.7496219277381897,0.8066666666666666,0.8915482423335827,0.8086838534599728,0.9933333333333333,0.8484666666666667,1500
12,0.40561613679569675,0.19333333333333336,0.770060658454895,0.806,0.8913773796192609,0.8073022312373225,0.995,0.851238888888889,1500
13,0.4013257473707199,0.18583333333333335,0.705286979675293,0.8233333333333334,0.8987390141383264,0.8299223712067749,0.98,0.8579027777777778,1500
14,0.3974482609945185,0.17541666666666667,0.7630226016044617,0.812,0.8942235558889723,0.8130968622100955,0.9933333333333333,0.8623194444444444,1500
15,0.3951291845922164,0.18916666666666668,0.7348501682281494,0.8213333333333334,0.898176291793313,0.8254189944134078,0.985,0.8658944444444445,1500
16,0.3857356411888,0.17291666666666666,0.7313644289970398,0.8226666666666667,0.8988593155893536,0.8265734265734266,0.985,0.8724555555555555,1500
17,0.3889027741503588,0.17000000000000004,0.7833495140075684,0.8053333333333333,0.8912071535022354,0.8059299191374663,0.9966666666666667,0.8727583333333333,1500
18,0.38475585844427507,0.17541666666666667,0.7562921643257141,0.8266666666666667,0.9009146341463414,0.8300561797752809,0.985,0.8736722222222223,1500
19,0.38023021458623246,0.16625,0.7776980400085449,0.8193333333333334,0.8980052691004893,0.818805765271105,0.9941666666666666,0.8808444444444444,1500
20,0.3752129418964692,0.16583333333333333,0.7379788160324097,0.8366666666666667,0.9058778332693046,0.8403421240199572,0.9825,0.8800333333333332,1500
21,0.36959190770266526,0.15958333333333335,0.6986991763114929,0.848,0.9111457521434139,0.8557833089311859,0.9741666666666666,0.8874944444444445,1500
22,0.3676667713863964,0.1604166666666667,0.7647570371627808,0.834,0.9049980923311713,0.8346235045742435,0.9883333333333333,0.8874666666666667,1500
23,0.36646824469540845,0.15499999999999997,0.7089484333992004,0.8506666666666667,0.9127045985970382,0.8572474377745242,0.9758333333333333,0.8924097222222223,1500
24,0.3600657297009453,0.15958333333333335,0.780624508857727,0.83,0.9030786773090079,0.8301886792452831,0.99,0.8916138888888889,1500
25,0.35900487659130503,0.15291666666666665,0.824929416179657,0.8073333333333333,0.8922847558702944,0.8071476736345247,0.9975,0.8987916666666667,1500
26,0.3558530427395979,0.15333333333333332,0.7125297784805298,0.8606666666666667,0.918135526831179,0.8662232076866223,0.9766666666666667,0.8992222222222223,1500
27,0.3547266087430046,0.14416666666666667,0.7177686095237732,0.8546666666666667,0.9154383242823895,0.8563134978229318,0.9833333333333333,0.9072722222222221,1500
28,0.34898759400780827,0.15208333333333335,0.694448709487915,0.8673333333333333,0.9213749506124062,0.8760330578512396,0.9716666666666667,0.9040861111111111,1500
29,0.35109908599904516,0.14666666666666664,0.7303128242492676,0.856,0.9160186625194401,0.858600583090379,0.9816666666666667,0.9068722222222221,1500
30,0.3455839096543623,0.14708333333333332,0.749687910079956,0.852,0.9146153846153846,0.8492857142857143,0.9908333333333333,0.9116527777777776,1500
