model,n_resamples,seen_eer,seen_lo,seen_hi,unseen_eer,unseen_lo,unseen_hi,gap,gap_lo,gap_hi,p_gap_positive
logmel_cnn,2000,0.0241666666666666,0.0166666666666666,0.0333333333333333,0.0833333333333333,0.0633333333333333,0.1033333333333333,0.0591666666666666,0.0411111111111111,0.0766666666666666,1.0
cnn,2000,0.2133333333333333,0.1833333333333333,0.2433333333333333,0.27,0.2555555555555555,0.2822222222222222,0.0566666666666666,0.03,0.0791666666666666,1.0
aasist,2000,0.1133333333333333,0.09,0.14,0.2333333333333333,0.1944444444444444,0.27,0.12,0.0899999999999999,0.1466666666666666,1.0
beats_aasist,2000,0.24,0.2141666666666666,0.2708333333333333,0.3433333333333332,0.31,0.3788888888888889,0.1033333333333332,0.0766666666666666,0.1263958333333333,1.0
fusion,2000,0.20333333333333337,0.17333333333333334,0.23333333333333328,0.29666666666666675,0.2744444444444445,0.31666666666666665,0.09333333333333338,0.07166666666666677,0.11666666666666664,1.0
