epoch,train_loss,val_loss,val_eer,val_auc,val_f1,lr,seconds
1,0.22785026486714682,0.1861022058725357,0.18000000000000005,0.8856416666666667,0.8793565683646113,0.001,45.016140937805176
2,0.13834420279661813,0.09340134792526562,0.08083333333333331,0.9710777777777778,0.9480017189514396,0.001,15.136705160140991
3,0.0954368057847023,0.07330226237078508,0.06666666666666665,0.9821972222222223,0.9586000853606488,0.001,14.553581237792969
4,0.07565862474838893,0.04964342101414999,0.043333333333333335,0.9944027777777777,0.9724692926725964,0.001,14.138657093048096
5,0.060675852159659066,0.035706205736845735,0.03,0.9969666666666666,0.9810366624525917,0.001,14.471914052963257
6,0.05278251777589321,0.044784416211148106,0.03916666666666668,0.9945111111111111,0.9754653130287648,0.001,14.44207501411438
7,0.045814392973979316,0.026097763575613497,0.020000000000000004,0.9987527777777778,0.9874055415617129,0.001,14.635499000549316
8,0.04089965774367253,0.02864150131245454,0.02333333333333333,0.9978944444444444,0.9852879361076082,0.001,14.158561944961548
9,0.03141871169954538,0.01650168534833938,0.012499999999999956,0.9993694444444444,0.992462311557789,0.001,14.794275045394897
10,0.029869600153217712,0.016385084479426344,0.011666666666666714,0.9993277777777777,0.9928840519045625,0.001,14.474537134170532
11,0.03429983430107435,0.017614843859647712,0.011666666666666714,0.9991444444444444,0.9924686192468619,0.001,14.392413139343262
12,0.026737948046376307,0.020608308498437207,0.013333333333333308,0.9992972222222223,0.9916247906197655,0.001,14.389019250869751
13,0.02449898477147023,0.016187928804506858,0.011666666666666714,0.9996666666666667,0.9932998324958124,0.001,14.174324989318848
14,0.023280566900968552,0.01246171512734145,0.006666666666666668,0.9997972222222222,0.9958228905597326,0.001,14.29113483428955
15,0.025507430393248796,0.013274251589551568,0.011666666666666714,0.9995916666666667,0.9928840519045625,0.001,14.728090047836304
16,0.022216335157553356,0.011418405606256177,0.010833333333333361,0.9995861111111111,0.9933054393305439,0.001,14.85391616821289
17,0.020056754212826492,0.014398556355076532,0.012499999999999956,0.9994361111111111,0.992462311557789,0.001,14.311460971832275
18,0.019576244434341788,0.02138799787747363,0.020000000000000004,0.9983111111111111,0.9874055415617129,0.001,15.207238912582397
19,0.02084294139718016,0.009602486883600552,0.009166666666666656,0.9998166666666667,0.9941471571906354,0.001,14.052901029586792
20,0.01966695929567019,0.020489649454752606,0.01749999999999996,0.998775,0.9895090222408729,0.001,10.88724398612976
21,0.022456661236472428,0.011748026001267136,0.007499999999999951,0.9993555555555556,0.9962358845671268,0.001,10.348104000091553
22,0.017873973285003255,0.011346030003313596,0.011666666666666714,0.9996111111111111,0.9932998324958124,0.001,10.174468040466309
